,Date,Time,City,Population,Result,NormalizedResult
160,2024-05-30,18:00,Düsseldorf,645923,[14. 12.  9. 12.  6.  8.  7. 10.  7.  5.  6.  1.  0.],"[0.14432989690721648, 0.12371134020618557, 0.09278350515463918, 0.12371134020618557, 0.061855670103092786, 0.08247422680412371, 0.07216494845360824, 0.10309278350515463, 0.07216494845360824, 0.05154639175257732, 0.061855670103092786, 0.010309278350515464, 0.0]"
161,2024-05-30,21:00,Düsseldorf,645923,[12.  6.  8.  7. 10.  7.  5.  6.  1.  0.  0.  4.  0.],"[0.18181818181818182, 0.09090909090909091, 0.12121212121212122, 0.10606060606060606, 0.15151515151515152, 0.10606060606060606, 0.07575757575757576, 0.09090909090909091, 0.015151515151515152, 0.0, 0.0, 0.06060606060606061, 0.0]"
162,2024-05-13,15:00,Frankfurt am Main,764104,[28. 16.  9. 14. 10. 10. 15. 19. 26. 15.  4.  1.  8.],"[0.16, 0.09142857142857143, 0.05142857142857143, 0.08, 0.05714285714285714, 0.05714285714285714, 0.08571428571428572, 0.10857142857142857, 0.14857142857142858, 0.08571428571428572, 0.022857142857142857, 0.005714285714285714, 0.045714285714285714]"
163,2024-05-13,18:00,Frankfurt am Main,764104,[14. 10. 10. 15. 19. 26. 15.  4.  1.  8.  2.  4.  1.],"[0.10852713178294573, 0.07751937984496124, 0.07751937984496124, 0.11627906976744186, 0.14728682170542637, 0.20155038759689922, 0.11627906976744186, 0.031007751937984496, 0.007751937984496124, 0.06201550387596899, 0.015503875968992248, 0.031007751937984496, 0.007751937984496124]"
164,2024-05-13,21:00,Frankfurt am Main,764104,[15. 19. 26. 15.  4.  1.  8.  2.  4.  1.  0.  2.  1.],"[0.15306122448979592, 0.19387755102040816, 0.2653061224489796, 0.15306122448979592, 0.04081632653061224, 0.01020408163265306, 0.08163265306122448, 0.02040816326530612, 0.04081632653061224, 0.01020408163265306, 0.0, 0.02040816326530612, 0.01020408163265306]"
165,2024-05-14,15:00,Frankfurt am Main,764104,[22. 16. 13. 10.  8.  7. 11. 16. 27.  8.  4.  3.  3.],"[0.14864864864864866, 0.10810810810810811, 0.08783783783783784, 0.06756756756756757, 0.05405405405405406, 0.0472972972972973, 0.07432432432432433, 0.10810810810810811, 0.18243243243243243, 0.05405405405405406, 0.02702702702702703, 0.02027027027027027, 0.02027027027027027]"
166,2024-05-14,18:00,Frankfurt am Main,764104,[10.  8.  7. 11. 16. 27.  8.  4.  3.  3.  5.  1.  0.],"[0.0970873786407767, 0.07766990291262135, 0.06796116504854369, 0.10679611650485436, 0.1553398058252427, 0.2621359223300971, 0.07766990291262135, 0.038834951456310676, 0.02912621359223301, 0.02912621359223301, 0.04854368932038835, 0.009708737864077669, 0.0]"
167,2024-05-14,21:00,Frankfurt am Main,764104,[11. 16. 27.  8.  4.  3.  3.  5.  1.  0.  2.  0.  0.],"[0.1375, 0.2, 0.3375, 0.1, 0.05, 0.0375, 0.0375, 0.0625, 0.0125, 0.0, 0.025, 0.0, 0.0]"
168,2024-05-15,15:00,Frankfurt am Main,764104,[17.  9. 11. 11. 11.  8. 11. 16. 16. 27.  5.  5.  4.],"[0.11258278145695365, 0.059602649006622516, 0.0728476821192053, 0.0728476821192053, 0.0728476821192053, 0.052980132450331126, 0.0728476821192053, 0.10596026490066225, 0.10596026490066225, 0.17880794701986755, 0.033112582781456956, 0.033112582781456956, 0.026490066225165563]"
169,2024-05-15,18:00,Frankfurt am Main,764104,[11. 11.  8. 11. 16. 16. 27.  5.  5.  4.  7.  2.  2.],"[0.088, 0.088, 0.064, 0.088, 0.128, 0.128, 0.216, 0.04, 0.04, 0.032, 0.056, 0.016, 0.016]"
170,2024-05-15,21:00,Frankfurt am Main,764104,[11. 16. 16. 27.  5.  5.  4.  7.  2.  2.  1.  2.  1.],"[0.1111111111111111, 0.16161616161616163, 0.16161616161616163, 0.2727272727272727, 0.050505050505050504, 0.050505050505050504, 0.04040404040404041, 0.0707070707070707, 0.020202020202020204, 0.020202020202020204, 0.010101010101010102, 0.020202020202020204, 0.010101010101010102]"
