,City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
20,Berlin,2024-06-21,18:00,3769000,Poland 1 - 3 Austria,Group D,[38. 46. 84. 69. 58. 59. 54. 35. 18. 12. 13. 12.  8.],Poland 1 - 3 Austria,"[0.07509881422924901, 0.09090909090909091, 0.16600790513833993, 0.13636363636363635, 0.11462450592885376, 0.116600790513834, 0.1067193675889328, 0.0691699604743083, 0.03557312252964427, 0.023715415019762844, 0.025691699604743084, 0.023715415019762844, 0.015810276679841896]"
21,Leipzig,2024-06-21,21:00,597493,Netherlands 0 - 0 France,Group D,[27. 27. 34. 22. 31. 17.  9.  4.  5.  4.  4.  2.  0.],Netherlands 0 - 0 France,"[0.14516129032258066, 0.14516129032258066, 0.1827956989247312, 0.11827956989247312, 0.16666666666666666, 0.0913978494623656, 0.04838709677419355, 0.021505376344086023, 0.026881720430107527, 0.021505376344086023, 0.021505376344086023, 0.010752688172043012, 0.0]"
22,Berlin,2024-06-25,18:00,3769000,Netherlands 2 - 3 Austria,Group D,[35. 57. 50. 74. 87. 58. 28. 21. 25. 15. 15. 12.  5.],Netherlands 2 - 3 Austria,"[0.07261410788381743, 0.11825726141078838, 0.1037344398340249, 0.15352697095435686, 0.18049792531120332, 0.12033195020746888, 0.058091286307053944, 0.043568464730290454, 0.05186721991701245, 0.03112033195020747, 0.03112033195020747, 0.024896265560165973, 0.01037344398340249]"
23,Dortmund,2024-06-25,18:00,588462,France 1 - 1 Poland,Group D,[ 8.  6.  5. 15. 27. 26. 13. 13.  6.  2.  0.  2.  0.],France 1 - 1 Poland,"[0.06504065040650407, 0.04878048780487805, 0.04065040650406504, 0.12195121951219512, 0.21951219512195122, 0.21138211382113822, 0.10569105691056911, 0.10569105691056911, 0.04878048780487805, 0.016260162601626018, 0.0, 0.016260162601626018, 0.0]"
24,München,2024-06-17,15:00,1488202,Romania 3 - 0 Ukraine,Group E,[1. 3. 2. 5. 4. 5. 9. 6. 5. 1. 1. 3. 1.],Romania 3 - 0 Ukraine,"[0.021739130434782608, 0.06521739130434782, 0.043478260869565216, 0.10869565217391304, 0.08695652173913043, 0.10869565217391304, 0.1956521739130435, 0.13043478260869565, 0.10869565217391304, 0.021739130434782608, 0.021739130434782608, 0.06521739130434782, 0.021739130434782608]"
25,Frankfurt am Main,2024-06-17,18:00,753056,Belgium 0 - 1 Slovakia,Group E,[ 4. 10. 11.  7.  5.  9.  4.  6.  8.  3.  1.  2.  2.],Belgium 0 - 1 Slovakia,"[0.05555555555555555, 0.1388888888888889, 0.1527777777777778, 0.09722222222222222, 0.06944444444444445, 0.125, 0.05555555555555555, 0.08333333333333333, 0.1111111111111111, 0.041666666666666664, 0.013888888888888888, 0.027777777777777776, 0.027777777777777776]"
26,Düsseldorf,2024-06-21,15:00,617280,Slovakia 1 - 2 Ukraine,Group E,[16.  6.  4.  6. 15. 10. 35. 13.  8.  6.  3.  3.  2.],Slovakia 1 - 2 Ukraine,"[0.12598425196850394, 0.047244094488188976, 0.031496062992125984, 0.047244094488188976, 0.11811023622047244, 0.07874015748031496, 0.2755905511811024, 0.10236220472440945, 0.06299212598425197, 0.047244094488188976, 0.023622047244094488, 0.023622047244094488, 0.015748031496062992]"
27,Köln,2024-06-22,21:00,1080394,Belgium 2 - 0 Romania,Group E,[16. 14. 10. 18.  8.  6.  4.  6.  5.  6.  2.  3.  0.],Belgium 2 - 0 Romania,"[0.16326530612244897, 0.14285714285714285, 0.10204081632653061, 0.1836734693877551, 0.08163265306122448, 0.061224489795918366, 0.04081632653061224, 0.061224489795918366, 0.05102040816326531, 0.061224489795918366, 0.02040816326530612, 0.030612244897959183, 0.0]"
28,Frankfurt am Main,2024-06-26,18:00,753056,Slovakia 1 - 1 Romania,Group E,[ 3. 10.  5.  6. 18. 22. 12. 17.  9.  2. 14.  5.  1.],Slovakia 1 - 1 Romania,"[0.024193548387096774, 0.08064516129032258, 0.04032258064516129, 0.04838709677419355, 0.14516129032258066, 0.1774193548387097, 0.0967741935483871, 0.13709677419354838, 0.07258064516129033, 0.016129032258064516, 0.11290322580645161, 0.04032258064516129, 0.008064516129032258]"
29,Stuttgart,2024-06-26,18:00,635911,Ukraine 0 - 0 Belgium,Group E,[ 3.  6.  6. 13. 23. 39. 19. 12.  8.  2.  4.  0.  0.],Ukraine 0 - 0 Belgium,"[0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.0962962962962963, 0.17037037037037037, 0.28888888888888886, 0.14074074074074075, 0.08888888888888889, 0.05925925925925926, 0.014814814814814815, 0.02962962962962963, 0.0, 0.0]"
30,Dortmund,2024-06-18,18:00,588462,Turkey 3 - 1 Georgia,Group F,[14. 11. 11. 17. 29. 43. 28. 20. 18.  6.  2.  1.  1.],Turkey 3 - 1 Georgia,"[0.06965174129353234, 0.05472636815920398, 0.05472636815920398, 0.0845771144278607, 0.14427860696517414, 0.21393034825870647, 0.13930348258706468, 0.09950248756218906, 0.08955223880597014, 0.029850746268656716, 0.009950248756218905, 0.004975124378109453, 0.004975124378109453]"
31,Leipzig,2024-06-18,21:00,597493,Portugal 2 - 1 Czechia,Group F,[26. 31. 30. 26. 13. 19.  7.  3.  6.  2.  2.  0.  2.],Portugal 2 - 1 Czechia,"[0.15568862275449102, 0.18562874251497005, 0.17964071856287425, 0.15568862275449102, 0.07784431137724551, 0.11377245508982035, 0.041916167664670656, 0.017964071856287425, 0.03592814371257485, 0.011976047904191617, 0.011976047904191617, 0.0, 0.011976047904191617]"
32,Hamburg,2024-06-22,15:00,1841179,Georgia 1 - 1 Czechia,Group F,[18. 18. 39. 32. 38. 33. 27. 30. 31. 28. 11. 11. 10.],Georgia 1 - 1 Czechia,"[0.05521472392638037, 0.05521472392638037, 0.1196319018404908, 0.09815950920245399, 0.1165644171779141, 0.10122699386503067, 0.08282208588957055, 0.09202453987730061, 0.0950920245398773, 0.08588957055214724, 0.03374233128834356, 0.03374233128834356, 0.03067484662576687]"
33,Dortmund,2024-06-22,18:00,588462,Turkey 0 - 3 Portugal,Group F,[11. 15. 12. 15. 21. 49. 14. 12. 33.  7.  7.  4.  2.],Turkey 0 - 3 Portugal,"[0.054455445544554455, 0.07425742574257425, 0.0594059405940594, 0.07425742574257425, 0.10396039603960396, 0.24257425742574257, 0.06930693069306931, 0.0594059405940594, 0.16336633663366337, 0.034653465346534656, 0.034653465346534656, 0.019801980198019802, 0.009900990099009901]"
34,Gelsenkirchen,2024-06-26,21:00,260000,Georgia 2 - 0 Portugal,Group F,[22. 17. 14.  8. 22. 36. 13. 20.  9.  2.  2.  0.  0.],Georgia 2 - 0 Portugal,"[0.13333333333333333, 0.10303030303030303, 0.08484848484848485, 0.048484848484848485, 0.13333333333333333, 0.21818181818181817, 0.07878787878787878, 0.12121212121212122, 0.05454545454545454, 0.012121212121212121, 0.012121212121212121, 0.0, 0.0]"
