City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
Leipzig,2024-06-24,21:00,597493,Croatia 1 - 1 Italy,Group B,[199. 206. 169. 131.  87.  64.  55.  40.  24.   9.   5.   3.   4.],Croatia 1 - 1 Italy,"[0.19979919678714858, 0.20682730923694778, 0.16967871485943775, 0.13152610441767068, 0.08734939759036145, 0.0642570281124498, 0.055220883534136546, 0.040160642570281124, 0.024096385542168676, 0.009036144578313253, 0.0050200803212851405, 0.0030120481927710845, 0.004016064257028112]"
Düsseldorf,2024-06-24,21:00,619294,Albania 0 - 1 Spain,Group B,[110. 170.  77.  96.  68.  65.  39.  24.  35.  10.   3.   4.   9.],Albania 0 - 1 Spain,"[0.15492957746478872, 0.23943661971830985, 0.10845070422535211, 0.1352112676056338, 0.09577464788732394, 0.09154929577464789, 0.054929577464788736, 0.03380281690140845, 0.04929577464788732, 0.014084507042253521, 0.004225352112676056, 0.005633802816901409, 0.01267605633802817]"
Stuttgart,2024-06-16,18:00,634830,Slovenia 1 - 1 Denmark,Group C,[ 47.  74.  53.  58.  50. 137.  40.  33.  12.  19.   9.   7.   2.],Slovenia 1 - 1 Denmark,"[0.08687615526802218, 0.1367837338262477, 0.09796672828096119, 0.10720887245841035, 0.09242144177449169, 0.2532347504621072, 0.07393715341959335, 0.06099815157116451, 0.022181146025878003, 0.03512014787430684, 0.0166358595194085, 0.012939001848428836, 0.0036968576709796672]"
Gelsenkirchen,2024-06-16,21:00,260000,Serbia 0 - 1 England,Group C,[51. 56. 61. 41. 42. 48. 36. 14. 19.  9.  9.  5.  4.],Serbia 0 - 1 England,"[0.1291139240506329, 0.14177215189873418, 0.15443037974683543, 0.10379746835443038, 0.10632911392405063, 0.12151898734177215, 0.09113924050632911, 0.035443037974683546, 0.04810126582278481, 0.02278481012658228, 0.02278481012658228, 0.012658227848101266, 0.010126582278481013]"
München,2024-06-20,15:00,1472000,Slovenia 1 - 1 Serbia,Group C,[64. 41. 32. 56. 60. 58. 97. 69. 64. 38. 23. 13.  7.],Slovenia 1 - 1 Serbia,"[0.10289389067524116, 0.06591639871382636, 0.05144694533762058, 0.09003215434083602, 0.09646302250803858, 0.0932475884244373, 0.15594855305466238, 0.11093247588424437, 0.10289389067524116, 0.06109324758842444, 0.03697749196141479, 0.02090032154340836, 0.011254019292604502]"
Frankfurt am Main,2024-06-20,18:00,753056,Denmark 1 - 1 England,Group C,[ 79.  58.  88. 108. 105.  85.  79.  36.  59.  28.  35.  12.   2.],Denmark 1 - 1 England,"[0.1020671834625323, 0.07493540051679587, 0.11369509043927649, 0.13953488372093023, 0.13565891472868216, 0.10981912144702842, 0.1020671834625323, 0.046511627906976744, 0.07622739018087855, 0.03617571059431524, 0.04521963824289406, 0.015503875968992248, 0.002583979328165375]"
Köln,2024-06-25,21:00,1085664,England 0 - 0 Slovenia,Group C,[171. 147. 158. 123. 136. 124. 128.  55.  22.  10.   4.   5.   3.],England 0 - 0 Slovenia,"[0.1574585635359116, 0.13535911602209943, 0.14548802946593, 0.1132596685082873, 0.1252302025782689, 0.1141804788213628, 0.11786372007366483, 0.05064456721915286, 0.020257826887661142, 0.009208103130755065, 0.003683241252302026, 0.004604051565377533, 0.0027624309392265192]"
München,2024-06-25,21:00,1472000,Denmark 0 - 0 Serbia,Group C,[37. 66. 46. 38. 50. 48.  6. 12. 13.  4.  1.  1.  0.],Denmark 0 - 0 Serbia,"[0.11490683229813664, 0.20496894409937888, 0.14285714285714285, 0.11801242236024845, 0.15527950310559005, 0.14906832298136646, 0.018633540372670808, 0.037267080745341616, 0.040372670807453416, 0.012422360248447204, 0.003105590062111801, 0.003105590062111801, 0.0]"
Hamburg,2024-06-16,15:00,1841179,Poland 1 - 2 Netherlands,Group D,[ 94.  76.  80. 152. 227. 173. 159. 166. 146. 101.  79.  65.  32.],Poland 1 - 2 Netherlands,"[0.06064516129032258, 0.04903225806451613, 0.05161290322580645, 0.09806451612903226, 0.1464516129032258, 0.11161290322580646, 0.10258064516129033, 0.10709677419354839, 0.09419354838709677, 0.06516129032258064, 0.05096774193548387, 0.041935483870967745, 0.02064516129032258]"
Düsseldorf,2024-06-17,21:00,619294,Austria 0 - 1 France,Group D,[120. 130. 123.  95.  54.  45.  30.  10.  17.   4.   1.   1.   4.],Austria 0 - 1 France,"[0.1892744479495268, 0.20504731861198738, 0.19400630914826497, 0.1498422712933754, 0.08517350157728706, 0.07097791798107256, 0.0473186119873817, 0.015772870662460567, 0.026813880126182965, 0.006309148264984227, 0.0015772870662460567, 0.0015772870662460567, 0.006309148264984227]"
