venue_type,day,hour,pair
shopping,2024-05-14,14,73.0
shopping,2024-05-14,15,63.0
shopping,2024-05-14,16,79.0
shopping,2024-05-14,17,79.0
shopping,2024-05-14,18,58.0
shopping,2024-05-14,19,37.0
shopping,2024-05-14,20,21.0
shopping,2024-05-14,21,10.0
shopping,2024-05-14,22,5.0
shopping,2024-05-14,23,1.0
shopping,2024-05-15,0,2.0
shopping,2024-05-15,1,
shopping,2024-05-15,2,1.0
shopping,2024-05-15,3,
shopping,2024-05-15,4,3.0
shopping,2024-05-15,5,3.0
shopping,2024-05-15,6,13.0
shopping,2024-05-15,7,17.0
shopping,2024-05-15,8,31.0
shopping,2024-05-15,9,55.0
shopping,2024-05-15,10,98.0
shopping,2024-05-15,11,90.0
shopping,2024-05-15,12,90.0
shopping,2024-05-15,13,72.0
shopping,2024-05-15,14,68.0
shopping,2024-05-15,15,62.0
shopping,2024-05-15,16,85.0
shopping,2024-05-15,17,64.0
shopping,2024-05-15,18,60.0
shopping,2024-05-15,19,29.0
shopping,2024-05-15,20,15.0
shopping,2024-05-15,21,15.0
shopping,2024-05-15,22,3.0
shopping,2024-05-15,23,2.0
shopping,2024-05-16,0,4.0
shopping,2024-05-16,1,1.0
shopping,2024-05-16,2,
shopping,2024-05-16,3,
shopping,2024-05-16,4,1.0
shopping,2024-05-16,5,3.0
shopping,2024-05-16,6,7.0
shopping,2024-05-16,7,24.0
shopping,2024-05-16,8,54.0
shopping,2024-05-16,9,98.0
shopping,2024-05-16,10,143.0
shopping,2024-05-16,11,114.0
shopping,2024-05-16,12,127.0
shopping,2024-05-16,13,84.0
shopping,2024-05-16,14,86.0
shopping,2024-05-16,15,92.0
shopping,2024-05-16,16,122.0
shopping,2024-05-16,17,129.0
shopping,2024-05-16,18,79.0
shopping,2024-05-16,19,34.0
shopping,2024-05-16,20,20.0
shopping,2024-05-16,21,10.0
shopping,2024-05-16,22,7.0
shopping,2024-05-16,23,1.0
shopping,2024-05-17,0,4.0
