did,centroids_ar,types,nominatim,len
52C5D89D11BFFEB4A3D8B441F9D023282024-06-19,"[(9.181780981393846, 48.790610586555815), (9.233267036853928, 48.79157210348479)]","['pharmacy', 'unknown']","[('Stuttgart', 'highway', 'pedestrian', 330785833), ('Stuttgart', 'leisure', 'sports_centre', 1070601468)]",2
52C5D89D11BFFEB4A3D8B441F9D023282024-07-05,"[(9.18167410762381, 48.790259016424365), (9.233267036853928, 48.79157210348479)]","['bicycle_parking', 'unknown']","[('Stuttgart', 'place', 'house', 739122394), ('Stuttgart', 'leisure', 'sports_centre', 1070601468)]",2
53055B77D373F951850EACFF19D1B7D12024-07-05,"[(9.197306309659075, 48.599347611990964), (9.230394778699205, 48.791507599546726)]","['unknown', 'parking']","[('Häslach', 'building', 'yes', 169549642), ('Stuttgart', 'shop', 'ticket', 2794699274)]",2
547DB07AB7683E00612A9D65C07710A82024-06-19,"[(9.820877438118975, 48.61683269664534), (9.813621519784336, 48.61386198198614), (9.232521811336166, 48.79143304745744)]","['unknown', 'fuel', 'unknown']","[('Geislingen an der Steige', 'building', 'apartments', 382078837), ('Geislingen an der Steige', 'building', 'retail', 367973762), ('Stuttgart', 'leisure', 'stadium', 3869991)]",3
555D125C92796FF3D86F77CE27CE4DA02024-06-19,"[(10.82426837653798, 49.71202935674911), (9.19421796682914, 48.788552155835056), (9.22476355766196, 48.79250244627666), (9.232847743915128, 48.79290828789523)]","['unknown', 'fast_food', 'parking', 'unknown']","[('Höchstadt an der Aisch', 'highway', 'residential', 24314266), ('Stuttgart', 'emergency', 'ambulance_station', 115476022), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'leisure', 'stadium', 3869991)]",4
585C22CBCA8596A3D393D99890FAFA0D2024-07-05,"[(8.664779908502247, 53.053771192589636), (8.813265336461386, 53.08268053678476), (8.663171789966054, 50.10682568383385), (8.589778257942474, 49.124411545146664), (9.18314532759963, 48.78554820220022), (9.185367923934002, 48.782592849377636), (9.179189152507073, 48.778944520054004), (9.231356936536661, 48.79255988549182), (8.399788930344622, 48.99293991861108)]","['unknown', 'post_box', 'toilets', 'cafe', 'bench', 'unknown', 'toilets', 'unknown', 'bench']","[('Delmenhorst', 'building', 'yes', 371921400), ('Bremen', 'building', 'train_station', 3340527), ('Frankfurt am Main', 'shop', 'bakery', 293705702), ('Bruchsal', 'railway', 'station', 25436271), ('Stuttgart', 'railway', 'stop', 297470900), ('Stuttgart', 'highway', 'cycleway', 360209445), ('Stuttgart', 'tourism', 'attraction', 3933618), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Karlsruhe', 'amenity', 'bench', 2343814563)]",9
58629F082D05938CE8F2F24E98096BBA2024-06-19,"[(9.121952894351102, 48.726100958261), (9.173453884865202, 48.78176802288721), (9.229866149743629, 48.79003001038438)]","['parking_entrance', 'bench', 'parking']","[('Stuttgart', 'amenity', 'parking', 1056919810), ('Stuttgart', 'highway', 'pedestrian', 352864466), ('Stuttgart', 'leisure', 'pitch', 25216447)]",3
5A070F904CC699B6303092B6772F86542024-06-19,"[(9.842567950488707, 48.614426960347714), (9.185478675810796, 48.78378744749798), (9.18153681217668, 48.781896137443105), (9.177805946556175, 48.777890812508915), (9.230079531192018, 48.791785734288695)]","['unknown', 'unknown', 'restaurant', 'fountain', 'post_box']","[('Geislingen an der Steige', 'highway', 'service', 479516841), ('Stuttgart', 'highway', 'service', 366600519), ('Stuttgart', 'building', 'office', 90724464), ('Stuttgart', 'amenity', 'bank', 6396249532), ('Stuttgart', 'amenity', 'parking', 438908086)]",5
5A4FA55D3BE8CC4A4BF58B9475C7B78B2024-06-19,"[(7.61985764171301, 51.901513243246576), (7.653175891843836, 51.903795983066146), (7.63475742045138, 51.95690156448786), (6.79487759849281, 51.2197304446305), (9.22901455498619, 48.79207259714297), (8.47034486085085, 49.47923585427862)]","['parking', 'bicycle_parking', 'vending_machine', 'vending_machine', 'post_box', 'fast_food']","[('Münster', 'building', 'house', 361182001), ('Münster', 'amenity', 'parking', 403529777), ('Münster', 'amenity', 'cafe', 634421181), ('Düsseldorf', 'amenity', 'waste_basket', 12484696116), ('Stuttgart', 'tourism', 'attraction', 136082204), ('Mannheim', 'building', 'train_station', 6831071)]",6
5A4FA55D3BE8CC4A4BF58B9475C7B78B2024-07-05,"[(7.61985764171301, 51.901513243246576), (9.459019334371888, 48.981915055079476), (9.300275193737791, 48.82648709803572), (9.216928770762344, 48.80144332388081), (9.233162297108874, 48.79192371981148)]","['parking', 'doctors', 'post_box', 'bench', 'unknown']","[('Münster', 'building', 'house', 361182001), ('Oppenweiler', 'building', 'house', 189426824), ('Waiblingen', 'railway', 'platform', 3995278), ('Stuttgart', 'railway', 'station', 3043452988), ('Stuttgart', 'leisure', 'stadium', 3869991)]",5
5CDA858B8213ECE11EC64526149F72482024-06-19,"[(8.749490748666245, 51.719960600219416), (9.44756191451043, 51.31017967967496), (9.180693345275943, 48.78393561065428), (9.217144885979422, 48.80221600519577), (9.214383821586567, 48.80341594585239), (9.233162297108874, 48.79192371981148)]","['bank', 'unknown', 'vending_machine', 'taxi', 'vending_machine', 'unknown']","[('Paderborn', 'building', 'apartments', 261695230), ('Kassel', 'railway', 'platform', 3407292), ('Stuttgart', 'highway', 'elevator', 440981894), ('Stuttgart', 'building', 'retail', 244442209), ('Stuttgart', 'place', 'house', 4244234836), ('Stuttgart', 'leisure', 'stadium', 3869991)]",6
5D66C3BE70DFC4FFFB2568B6F8A8EE922024-07-05,"[(9.191901053605301, 48.794600190406456), (9.23188295734097, 48.791293772667245), (9.225591209212254, 48.787721932234525)]","['unknown', 'unknown', 'unknown']","[('Stuttgart', 'building', 'apartments', 80933462), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'highway', 'trunk', 24423881)]",3
60C8650ADFD0C8CD8CF6122C5B9F07862024-06-19,"[(9.233162297108874, 48.79192371981148)]",['unknown'],"[('Stuttgart', 'leisure', 'stadium', 3869991)]",1
624C81779FE007B9220B8DBEF274C76A2024-07-05,"[(9.158124136852418, 48.84448034911645), (9.177805698326923, 48.77937183816115), (9.183233261884732, 48.78048783337709), (9.232202383897919, 48.79136341050606)]","['cafe', 'post_office', 'fountain', 'unknown']","[('Stuttgart', 'tourism', 'hotel', 1584148565), ('Stuttgart', 'shop', 'mall', 461693847), ('Stuttgart', 'highway', 'footway', 3996731), ('Stuttgart', 'leisure', 'stadium', 3869991)]",4
636C824390F5233213F27E1599B5FD9D2024-06-19,"[(9.212673783597825, 49.92428749436188), (9.175481105687249, 48.78366254019768), (9.204949063366364, 48.784316161127265), (9.204503365738981, 48.78073318053453), (9.233162297108874, 48.79192371981148)]","['unknown', 'vending_machine', 'restaurant', 'car_sharing', 'unknown']","[('Soden', 'building', 'yes', 147949866), ('Stuttgart', 'amenity', 'doctors', 109179391), ('Stuttgart', 'amenity', 'restaurant', 3127427601), ('Stuttgart', 'building', 'yes', 123769993), ('Stuttgart', 'leisure', 'stadium', 3869991)]",5
63C77F7F8523BF4D3EC8364918D79F3F2024-06-19,"[(9.371756481472401, 50.972178978940796), (9.230080816613297, 48.79263272068446)]","['unknown', 'exhibition_centre']","[('Lenderscheid', 'building', 'yes', 235350123), ('Stuttgart', 'tourism', 'attraction', 136082204)]",2
65464885286D455098A06F34C63D3B262024-06-19,"[(9.062559306314064, 48.54601390098472), (8.875393403423864, 48.50990774500622), (9.06107296355756, 48.542148805586244), (9.230403789127594, 48.793475445911874), (9.37333073023234, 48.67312956663758)]","['parking_entrance', 'school', 'recycling', 'exhibition_centre', 'ticket_validator']","[('Tübingen', 'building', 'house', 367735233), ('Rottenburg am Neckar', 'amenity', 'school', 286306996), ('Tübingen', 'amenity', 'parking', 266864234), ('Stuttgart', 'tourism', 'attraction', 136082204), ('Wendlingen am Neckar', 'railway', 'station', 601507321)]",5
