Date,Time,City,Population,Result,NormalizedResult
2024-05-30,21:00,Leipzig,600894,[222. 307. 223. 150. 131. 106.  74.  47.  12.  15.   7.   7.   3.],"[0.17024539877300612, 0.23542944785276074, 0.17101226993865032, 0.11503067484662577, 0.1004601226993865, 0.08128834355828221, 0.05674846625766871, 0.036042944785276074, 0.009202453987730062, 0.011503067484662576, 0.005368098159509203, 0.005368098159509203, 0.0023006134969325155]"
2024-05-13,15:00,München,1487708,[36. 18. 34. 47. 22. 29. 30. 77. 89. 36. 32. 26. 17.],"[0.07302231237322515, 0.036511156186612576, 0.06896551724137931, 0.09533468559837728, 0.04462474645030426, 0.058823529411764705, 0.060851926977687626, 0.15618661257606492, 0.18052738336713997, 0.07302231237322515, 0.06490872210953347, 0.05273833671399594, 0.034482758620689655]"
2024-05-13,18:00,München,1487708,[47. 22. 29. 30. 77. 89. 36. 32. 26. 17. 20. 10.  3.],"[0.10730593607305935, 0.0502283105022831, 0.06621004566210045, 0.0684931506849315, 0.17579908675799086, 0.20319634703196346, 0.0821917808219178, 0.0730593607305936, 0.0593607305936073, 0.03881278538812785, 0.045662100456621, 0.0228310502283105, 0.00684931506849315]"
2024-05-13,21:00,München,1487708,[30. 77. 89. 36. 32. 26. 17. 20. 10.  3.  2.  0.  1.],"[0.08746355685131195, 0.22448979591836735, 0.2594752186588921, 0.10495626822157435, 0.09329446064139942, 0.07580174927113703, 0.04956268221574344, 0.05830903790087463, 0.029154518950437316, 0.008746355685131196, 0.0058309037900874635, 0.0, 0.0029154518950437317]"
2024-05-14,15:00,München,1487708,[51. 31. 48. 46. 38. 40. 64. 59. 62. 28. 17. 20. 12.],"[0.09883720930232558, 0.060077519379844964, 0.09302325581395349, 0.08914728682170543, 0.07364341085271318, 0.07751937984496124, 0.12403100775193798, 0.11434108527131782, 0.12015503875968993, 0.05426356589147287, 0.03294573643410853, 0.03875968992248062, 0.023255813953488372]"
2024-05-14,18:00,München,1487708,[46. 38. 40. 64. 59. 62. 28. 17. 20. 12.  6.  4.  1.],"[0.11586901763224182, 0.09571788413098237, 0.10075566750629723, 0.16120906801007556, 0.1486146095717884, 0.1561712846347607, 0.07052896725440806, 0.042821158690176324, 0.05037783375314862, 0.030226700251889168, 0.015113350125944584, 0.010075566750629723, 0.0025188916876574307]"
2024-05-14,21:00,München,1487708,[64. 59. 62. 28. 17. 20. 12.  6.  4.  1.  1.  1.  1.],"[0.2318840579710145, 0.213768115942029, 0.2246376811594203, 0.10144927536231885, 0.06159420289855073, 0.07246376811594203, 0.043478260869565216, 0.021739130434782608, 0.014492753623188406, 0.0036231884057971015, 0.0036231884057971015, 0.0036231884057971015, 0.0036231884057971015]"
2024-05-15,15:00,München,1487708,[47. 39. 55. 66. 50. 47. 72. 71. 46. 46. 21.  9. 14.],"[0.08061749571183534, 0.06689536878216124, 0.09433962264150944, 0.11320754716981132, 0.08576329331046312, 0.08061749571183534, 0.1234991423670669, 0.12178387650085763, 0.07890222984562607, 0.07890222984562607, 0.036020583190394515, 0.015437392795883362, 0.024013722126929673]"
2024-05-15,18:00,München,1487708,[66. 50. 47. 72. 71. 46. 46. 21.  9. 14.  3.  1.  3.],"[0.14699331848552338, 0.111358574610245, 0.10467706013363029, 0.1603563474387528, 0.15812917594654788, 0.10244988864142539, 0.10244988864142539, 0.0467706013363029, 0.0200445434298441, 0.031180400890868598, 0.0066815144766146995, 0.0022271714922048997, 0.0066815144766146995]"
2024-05-15,21:00,München,1487708,[72. 71. 46. 46. 21.  9. 14.  3.  1.  3.  1.  1.  2.],"[0.2482758620689655, 0.24482758620689654, 0.15862068965517243, 0.15862068965517243, 0.07241379310344828, 0.03103448275862069, 0.04827586206896552, 0.010344827586206896, 0.0034482758620689655, 0.010344827586206896, 0.0034482758620689655, 0.0034482758620689655, 0.006896551724137931]"
2024-05-16,15:00,München,1487708,[ 67.  49.  56.  33.  64.  48.  66. 101.  97.  60.  19.  24.  11.],"[0.09640287769784173, 0.07050359712230216, 0.08057553956834532, 0.04748201438848921, 0.0920863309352518, 0.06906474820143885, 0.09496402877697842, 0.14532374100719425, 0.13956834532374102, 0.08633093525179857, 0.027338129496402876, 0.034532374100719423, 0.015827338129496403]"
