City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
Dortmund,2024-06-22,18:00,588462,Turkey 0 - 3 Portugal,Group F,[ 37.  70.  43.  75.  89. 120.  51.  49.  84.  38.  17.   5.   4.],Turkey 0 - 3 Portugal,"[0.054252199413489736, 0.10263929618768329, 0.06304985337243402, 0.10997067448680352, 0.13049853372434017, 0.17595307917888564, 0.0747800586510264, 0.0718475073313783, 0.12316715542521994, 0.05571847507331378, 0.024926686217008796, 0.007331378299120235, 0.005865102639296188]"
Gelsenkirchen,2024-06-26,21:00,260000,Georgia 2 - 0 Portugal,Group F,[54. 63. 51. 44. 56. 72.  8. 23. 12.  8.  2.  0.  1.],Georgia 2 - 0 Portugal,"[0.13705583756345177, 0.1598984771573604, 0.12944162436548223, 0.1116751269035533, 0.14213197969543148, 0.18274111675126903, 0.02030456852791878, 0.0583756345177665, 0.030456852791878174, 0.02030456852791878, 0.005076142131979695, 0.0, 0.0025380710659898475]"
Hamburg,2024-06-26,21:00,1841179,Czechia 1 - 2 Turkey,Group F,[209. 212. 179. 112.  45.  43.  27.  14.  17.   4.   5.   6.   3.],Czechia 1 - 2 Turkey,"[0.23858447488584475, 0.2420091324200913, 0.204337899543379, 0.1278538812785388, 0.05136986301369863, 0.04908675799086758, 0.030821917808219176, 0.01598173515981735, 0.019406392694063926, 0.0045662100456621, 0.005707762557077625, 0.00684931506849315, 0.003424657534246575]"
Dortmund,2024-06-29,21:00,588462,Germany 2 - 0 Denmark,,[ 53.  63.  69. 133. 229. 183.  75. 104.  38.  29.   4.   1.   1.],Germany 2 - 0 Denmark,"[0.0539714867617108, 0.06415478615071284, 0.07026476578411406, 0.1354378818737271, 0.23319755600814665, 0.18635437881873726, 0.07637474541751528, 0.10590631364562118, 0.038696537678207736, 0.029531568228105907, 0.004073319755600814, 0.0010183299389002036, 0.0010183299389002036]"
Berlin,2024-06-29,18:00,3644826,Switzerland 2 - 0 Italy,,[211. 251. 130. 160. 195. 191. 132. 137. 161.  95.  78.  70.  78.],Switzerland 2 - 0 Italy,"[0.11169931180518793, 0.1328745367919534, 0.06881948120698782, 0.08470089994706194, 0.10322922181048173, 0.10111169931180519, 0.0698782424563261, 0.07252514557967178, 0.08523028057173107, 0.05029115934356802, 0.04129168872419269, 0.037056643726839596, 0.04129168872419269]"
Gelsenkirchen,2024-06-30,18:00,260000,England 2 - 1 Slovakia ,,[36. 25. 37. 41. 55. 66. 30. 12. 36. 16.  4.  5.  1.],England 2 - 1 Slovakia ,"[0.0989010989010989, 0.06868131868131869, 0.10164835164835165, 0.11263736263736264, 0.1510989010989011, 0.1813186813186813, 0.08241758241758242, 0.03296703296703297, 0.0989010989010989, 0.04395604395604396, 0.01098901098901099, 0.013736263736263736, 0.0027472527472527475]"
Köln,2024-06-30,21:00,1085664,Spain 4 - 1 Georgia,,[40. 42. 55. 56. 54. 46. 15. 12. 15. 10.  0.  3.  2.],Spain 4 - 1 Georgia,"[0.11428571428571428, 0.12, 0.15714285714285714, 0.16, 0.15428571428571428, 0.13142857142857142, 0.04285714285714286, 0.03428571428571429, 0.04285714285714286, 0.02857142857142857, 0.0, 0.008571428571428572, 0.005714285714285714]"
Düsseldorf,2024-07-01,18:00,617280,France 1 - 0 Belgium,,[ 64.  56.  46.  84. 132. 128.  58.  50.  21.  18.   7.   3.   2.],France 1 - 0 Belgium,"[0.09566517189835576, 0.08370702541106129, 0.0687593423019432, 0.12556053811659193, 0.19730941704035873, 0.19133034379671152, 0.08669656203288491, 0.07473841554559044, 0.03139013452914798, 0.026905829596412557, 0.01046337817638266, 0.004484304932735426, 0.0029895366218236174]"
Frankfurt am Main,2024-07-01,21:00,736414,Portugal 0 - 0 Slovenia,,[20. 39. 36. 42. 26. 27. 18. 17. 25.  6.  8.  1.  0.],Portugal 0 - 0 Slovenia,"[0.07547169811320754, 0.1471698113207547, 0.13584905660377358, 0.15849056603773584, 0.09811320754716982, 0.1018867924528302, 0.06792452830188679, 0.06415094339622641, 0.09433962264150944, 0.022641509433962263, 0.03018867924528302, 0.0037735849056603774, 0.0]"
München,2024-07-02,18:00,1471508,Romania 0 - 3 Netherlands,,[29. 14. 30. 46. 37. 48. 21. 28. 19. 14.  3.  3.  1.],Romania 0 - 3 Netherlands,"[0.09897610921501707, 0.04778156996587031, 0.10238907849829351, 0.15699658703071673, 0.12627986348122866, 0.16382252559726962, 0.07167235494880546, 0.09556313993174062, 0.06484641638225255, 0.04778156996587031, 0.010238907849829351, 0.010238907849829351, 0.0034129692832764505]"
Leipzig,2024-07-02,21:00,597493,Austria 1 - 2 Turkey,,[ 97. 139. 126.  88. 119. 149. 132.  56.  15.   3.   0.   2.   3.],Austria 1 - 2 Turkey,"[0.10441334768568353, 0.1496232508073197, 0.1356297093649085, 0.09472551130247578, 0.12809472551130247, 0.1603875134553283, 0.14208826695371368, 0.060279870828848225, 0.016146393972012917, 0.0032292787944025836, 0.0, 0.002152852529601722, 0.0032292787944025836]"
Stuttgart,2024-07-05,18:00,634830,Spain 2 - 1 Germany,,[ 24.  28.  29.  55. 115. 148.  35.  26.  33.  30.  11.  10.   7.],Spain 2 - 1 Germany,"[0.043557168784029036, 0.050816696914700546, 0.05263157894736842, 0.0998185117967332, 0.20871143375680581, 0.26860254083484575, 0.06352087114337568, 0.047186932849364795, 0.05989110707803993, 0.0544464609800363, 0.019963702359346643, 0.018148820326678767, 0.012704174228675136]"
Hamburg,2024-07-05,21:00,1841179,Portugal 0 - 0 France ,,[205. 157. 161.  47.  49.  32.  46.  47.  36.  26.  14.   3.   2.],Portugal 0 - 0 France ,"[0.24848484848484848, 0.1903030303030303, 0.19515151515151516, 0.05696969696969697, 0.059393939393939395, 0.03878787878787879, 0.055757575757575756, 0.05696969696969697, 0.04363636363636364, 0.03151515151515152, 0.01696969696969697, 0.0036363636363636364, 0.0024242424242424242]"
Berlin,2024-07-06,18:00,3644826,Netherlands 2 - 1 Turkey,,[174. 159. 205. 165. 211. 215. 172. 155. 110.  87.  68.  73.  53.],Netherlands 2 - 1 Turkey,"[0.09420682187330806, 0.08608554412560909, 0.11099079588521928, 0.08933405522468868, 0.11423930698429886, 0.11640498105035192, 0.09312398484028153, 0.08391987005955603, 0.05955603681645912, 0.04710341093665403, 0.036816459122902004, 0.03952355170546833, 0.028695181375203032]"
Düsseldorf,2024-07-06,21:00,617280,England 1 - 1 Switzerland,,[34. 30. 27. 24. 17. 18. 10.  4.  7.  7.  2.  1.  2.],England 1 - 1 Switzerland,"[0.18579234972677597, 0.16393442622950818, 0.14754098360655737, 0.13114754098360656, 0.09289617486338798, 0.09836065573770492, 0.0546448087431694, 0.02185792349726776, 0.03825136612021858, 0.03825136612021858, 0.01092896174863388, 0.00546448087431694, 0.01092896174863388]"
München,2024-07-09,21:00,1471508,Spain 2 - 1 France,,[33. 31. 28. 21. 15. 16.  6.  3.  1.  3.  1.  0.  2.],Spain 2 - 1 France,"[0.20625, 0.19375, 0.175, 0.13125, 0.09375, 0.1, 0.0375, 0.01875, 0.00625, 0.01875, 0.00625, 0.0, 0.0125]"
Dortmund,2024-07-10,21:00,588462,Netherlands 1 - 2 England,,[68. 70. 66. 62. 23. 35. 17. 11. 22. 18.  0.  0.  1.],Netherlands 1 - 2 England,"[0.17302798982188294, 0.178117048346056, 0.16793893129770993, 0.15776081424936386, 0.058524173027989825, 0.089058524173028, 0.043256997455470736, 0.027989821882951654, 0.05597964376590331, 0.04580152671755725, 0.0, 0.0, 0.002544529262086514]"
Berlin,2024-07-14,21:00,3644826,Spain 2 - 1 England,,[180. 132. 175. 236. 143. 130.  41.  26.  51.  30.  15.  14.   4.],Spain 2 - 1 England,"[0.15293118096856415, 0.11214953271028037, 0.14868309260832624, 0.20050977060322855, 0.12149532710280374, 0.11045029736618521, 0.034834324553950725, 0.022090059473237042, 0.04333050127442651, 0.025488530161427356, 0.012744265080713678, 0.0118946474086661, 0.0033984706881903144]"
