,Date,Time,City,Population,Result,NormalizedResult
191,2024-05-22,21:00,Frankfurt am Main,764104,[24. 79. 45. 33. 12. 15.  7.  6.  5.  2.  0.  1.  0.],"[0.10480349344978165, 0.34497816593886466, 0.1965065502183406, 0.14410480349344978, 0.05240174672489083, 0.06550218340611354, 0.03056768558951965, 0.026200873362445413, 0.021834061135371178, 0.008733624454148471, 0.0, 0.004366812227074236, 0.0]"
192,2024-05-23,15:00,Frankfurt am Main,764104,[31. 25. 28. 30. 26. 35. 39. 52. 48. 20. 16. 11.  8.],"[0.08401084010840108, 0.06775067750677506, 0.07588075880758807, 0.08130081300813008, 0.07046070460704607, 0.0948509485094851, 0.10569105691056911, 0.14092140921409213, 0.13008130081300814, 0.05420054200542006, 0.04336043360433604, 0.02981029810298103, 0.02168021680216802]"
193,2024-05-23,18:00,Frankfurt am Main,764104,[30. 26. 35. 39. 52. 48. 20. 16. 11.  8.  6.  4.  1.],"[0.10135135135135136, 0.08783783783783784, 0.11824324324324324, 0.13175675675675674, 0.17567567567567569, 0.16216216216216217, 0.06756756756756757, 0.05405405405405406, 0.037162162162162164, 0.02702702702702703, 0.02027027027027027, 0.013513513513513514, 0.0033783783783783786]"
194,2024-05-23,21:00,Frankfurt am Main,764104,[39. 52. 48. 20. 16. 11.  8.  6.  4.  1.  1.  1.  0.],"[0.18840579710144928, 0.25120772946859904, 0.2318840579710145, 0.0966183574879227, 0.07729468599033816, 0.05314009661835749, 0.03864734299516908, 0.028985507246376812, 0.01932367149758454, 0.004830917874396135, 0.004830917874396135, 0.004830917874396135, 0.0]"
195,2024-05-24,15:00,Frankfurt am Main,764104,[31. 32. 22. 41. 43. 31. 40. 38. 23. 32. 26. 17. 15.],"[0.0792838874680307, 0.08184143222506395, 0.056265984654731455, 0.10485933503836317, 0.10997442455242967, 0.0792838874680307, 0.10230179028132992, 0.09718670076726342, 0.058823529411764705, 0.08184143222506395, 0.06649616368286446, 0.043478260869565216, 0.03836317135549872]"
196,2024-05-24,18:00,Frankfurt am Main,764104,[41. 43. 31. 40. 38. 23. 32. 26. 17. 15.  4.  4.  3.],"[0.12933753943217666, 0.13564668769716087, 0.09779179810725552, 0.12618296529968454, 0.11987381703470032, 0.07255520504731862, 0.10094637223974763, 0.08201892744479496, 0.05362776025236593, 0.0473186119873817, 0.012618296529968454, 0.012618296529968454, 0.00946372239747634]"
197,2024-05-24,21:00,Frankfurt am Main,764104,[40. 38. 23. 32. 26. 17. 15.  4.  4.  3.  0.  0.  0.],"[0.19801980198019803, 0.18811881188118812, 0.11386138613861387, 0.15841584158415842, 0.12871287128712872, 0.08415841584158416, 0.07425742574257425, 0.019801980198019802, 0.019801980198019802, 0.01485148514851485, 0.0, 0.0, 0.0]"
198,2024-05-25,15:00,Frankfurt am Main,764104,[13. 22. 20. 24. 41. 19. 35. 36. 21. 33. 28. 16. 16.],"[0.040123456790123455, 0.06790123456790123, 0.06172839506172839, 0.07407407407407407, 0.12654320987654322, 0.05864197530864197, 0.10802469135802469, 0.1111111111111111, 0.06481481481481481, 0.10185185185185185, 0.08641975308641975, 0.04938271604938271, 0.04938271604938271]"
199,2024-05-25,18:00,Frankfurt am Main,764104,[24. 41. 19. 35. 36. 21. 33. 28. 16. 16. 13.  8.  4.],"[0.08163265306122448, 0.13945578231292516, 0.06462585034013606, 0.11904761904761904, 0.12244897959183673, 0.07142857142857142, 0.11224489795918367, 0.09523809523809523, 0.05442176870748299, 0.05442176870748299, 0.04421768707482993, 0.027210884353741496, 0.013605442176870748]"
200,2024-05-25,21:00,Frankfurt am Main,764104,[35. 36. 21. 33. 28. 16. 16. 13.  8.  4.  0.  0.  1.],"[0.16587677725118483, 0.17061611374407584, 0.0995260663507109, 0.15639810426540285, 0.13270142180094788, 0.07582938388625593, 0.07582938388625593, 0.061611374407582936, 0.037914691943127965, 0.018957345971563982, 0.0, 0.0, 0.004739336492890996]"
201,2024-05-26,15:00,Frankfurt am Main,764104,[16. 20. 20. 26. 27. 25. 16. 18. 20. 20. 31. 23. 20.],"[0.05673758865248227, 0.07092198581560284, 0.07092198581560284, 0.09219858156028368, 0.09574468085106383, 0.08865248226950355, 0.05673758865248227, 0.06382978723404255, 0.07092198581560284, 0.07092198581560284, 0.1099290780141844, 0.08156028368794327, 0.07092198581560284]"
202,2024-05-26,18:00,Frankfurt am Main,764104,[26. 27. 25. 16. 18. 20. 20. 31. 23. 20.  6.  1.  0.],"[0.11158798283261803, 0.11587982832618025, 0.1072961373390558, 0.06866952789699571, 0.07725321888412018, 0.08583690987124463, 0.08583690987124463, 0.13304721030042918, 0.09871244635193133, 0.08583690987124463, 0.02575107296137339, 0.004291845493562232, 0.0]"
203,2024-05-26,21:00,Frankfurt am Main,764104,[16. 18. 20. 20. 31. 23. 20.  6.  1.  0.  1.  1.  1.],"[0.10126582278481013, 0.11392405063291139, 0.12658227848101267, 0.12658227848101267, 0.1962025316455696, 0.14556962025316456, 0.12658227848101267, 0.0379746835443038, 0.006329113924050633, 0.0, 0.006329113924050633, 0.006329113924050633, 0.006329113924050633]"
204,2024-05-27,15:00,Frankfurt am Main,764104,[33. 26. 36. 26. 20. 20. 30. 16. 32. 40. 56. 48. 16.],"[0.08270676691729323, 0.06516290726817042, 0.09022556390977443, 0.06516290726817042, 0.05012531328320802, 0.05012531328320802, 0.07518796992481203, 0.040100250626566414, 0.08020050125313283, 0.10025062656641603, 0.14035087719298245, 0.12030075187969924, 0.040100250626566414]"
205,2024-05-27,18:00,Frankfurt am Main,764104,[26. 20. 20. 30. 16. 32. 40. 56. 48. 16.  6.  7.  2.],"[0.08150470219435736, 0.06269592476489028, 0.06269592476489028, 0.09404388714733543, 0.050156739811912224, 0.10031347962382445, 0.12539184952978055, 0.1755485893416928, 0.15047021943573669, 0.050156739811912224, 0.018808777429467086, 0.0219435736677116, 0.006269592476489028]"
206,2024-05-27,21:00,Frankfurt am Main,764104,[30. 16. 32. 40. 56. 48. 16.  6.  7.  2.  0.  0.  0.],"[0.11857707509881422, 0.06324110671936758, 0.12648221343873517, 0.15810276679841898, 0.22134387351778656, 0.18972332015810275, 0.06324110671936758, 0.023715415019762844, 0.02766798418972332, 0.007905138339920948, 0.0, 0.0, 0.0]"
207,2024-05-28,15:00,Frankfurt am Main,764104,[28. 17. 24. 19. 26. 27. 50. 47. 52. 45. 21. 21. 16.],"[0.07124681933842239, 0.043256997455470736, 0.061068702290076333, 0.04834605597964377, 0.06615776081424936, 0.06870229007633588, 0.1272264631043257, 0.11959287531806616, 0.13231552162849872, 0.11450381679389313, 0.05343511450381679, 0.05343511450381679, 0.04071246819338423]"
208,2024-05-28,18:00,Frankfurt am Main,764104,[19. 26. 27. 50. 47. 52. 45. 21. 21. 16. 10.  5.  1.],"[0.05588235294117647, 0.07647058823529412, 0.07941176470588235, 0.14705882352941177, 0.13823529411764707, 0.15294117647058825, 0.1323529411764706, 0.061764705882352944, 0.061764705882352944, 0.047058823529411764, 0.029411764705882353, 0.014705882352941176, 0.0029411764705882353]"
209,2024-05-28,21:00,Frankfurt am Main,764104,[50. 47. 52. 45. 21. 21. 16. 10.  5.  1.  2.  0.  0.],"[0.18518518518518517, 0.17407407407407408, 0.1925925925925926, 0.16666666666666666, 0.07777777777777778, 0.07777777777777778, 0.05925925925925926, 0.037037037037037035, 0.018518518518518517, 0.003703703703703704, 0.007407407407407408, 0.0, 0.0]"
210,2024-05-29,15:00,Frankfurt am Main,764104,[18. 32. 14. 30. 32. 48. 49. 54. 57. 54. 17. 14.  5.],"[0.04245283018867924, 0.07547169811320754, 0.0330188679245283, 0.07075471698113207, 0.07547169811320754, 0.11320754716981132, 0.11556603773584906, 0.12735849056603774, 0.13443396226415094, 0.12735849056603774, 0.04009433962264151, 0.0330188679245283, 0.01179245283018868]"
211,2024-05-29,18:00,Frankfurt am Main,764104,[30. 32. 48. 49. 54. 57. 54. 17. 14.  5.  5.  3.  4.],"[0.08064516129032258, 0.08602150537634409, 0.12903225806451613, 0.13172043010752688, 0.14516129032258066, 0.1532258064516129, 0.14516129032258066, 0.0456989247311828, 0.03763440860215054, 0.013440860215053764, 0.013440860215053764, 0.008064516129032258, 0.010752688172043012]"
212,2024-05-29,21:00,Frankfurt am Main,764104,[49. 54. 57. 54. 17. 14.  5.  5.  3.  4.  1.  1.  1.],"[0.18490566037735848, 0.2037735849056604, 0.21509433962264152, 0.2037735849056604, 0.06415094339622641, 0.052830188679245285, 0.018867924528301886, 0.018867924528301886, 0.011320754716981131, 0.01509433962264151, 0.0037735849056603774, 0.0037735849056603774, 0.0037735849056603774]"
213,2024-05-30,15:00,Frankfurt am Main,764104,[ 7. 21. 15. 32. 24. 25. 18. 14. 24. 20.  5.  5.  3.],"[0.03286384976525822, 0.09859154929577464, 0.07042253521126761, 0.15023474178403756, 0.11267605633802817, 0.11737089201877934, 0.08450704225352113, 0.06572769953051644, 0.11267605633802817, 0.09389671361502347, 0.023474178403755867, 0.023474178403755867, 0.014084507042253521]"
214,2024-05-30,18:00,Frankfurt am Main,764104,[32. 24. 25. 18. 14. 24. 20.  5.  5.  3.  5.  2.  0.],"[0.1807909604519774, 0.13559322033898305, 0.14124293785310735, 0.1016949152542373, 0.07909604519774012, 0.13559322033898305, 0.11299435028248588, 0.02824858757062147, 0.02824858757062147, 0.01694915254237288, 0.02824858757062147, 0.011299435028248588, 0.0]"
215,2024-05-30,21:00,Frankfurt am Main,764104,[18. 14. 24. 20.  5.  5.  3.  5.  2.  0.  1.  2.  0.],"[0.18181818181818182, 0.1414141414141414, 0.24242424242424243, 0.20202020202020202, 0.050505050505050504, 0.050505050505050504, 0.030303030303030304, 0.050505050505050504, 0.020202020202020204, 0.0, 0.010101010101010102, 0.020202020202020204, 0.0]"
216,2024-05-13,15:00,Gelsenkirchen,259744,[15. 21. 12. 32. 36. 59. 62. 83. 38. 53. 33. 31. 11.],"[0.030864197530864196, 0.043209876543209874, 0.024691358024691357, 0.06584362139917696, 0.07407407407407407, 0.12139917695473251, 0.12757201646090535, 0.17078189300411523, 0.07818930041152264, 0.10905349794238683, 0.06790123456790123, 0.06378600823045268, 0.02263374485596708]"
217,2024-05-13,18:00,Gelsenkirchen,259744,[32. 36. 59. 62. 83. 38. 53. 33. 31. 11.  5.  4.  5.],"[0.07079646017699115, 0.07964601769911504, 0.13053097345132744, 0.13716814159292035, 0.1836283185840708, 0.084070796460177, 0.1172566371681416, 0.07300884955752213, 0.06858407079646017, 0.024336283185840708, 0.011061946902654867, 0.008849557522123894, 0.011061946902654867]"
218,2024-05-13,21:00,Gelsenkirchen,259744,[62. 83. 38. 53. 33. 31. 11.  5.  4.  5.  1.  3.  0.],"[0.1884498480243161, 0.25227963525835867, 0.11550151975683891, 0.16109422492401215, 0.10030395136778116, 0.09422492401215805, 0.03343465045592705, 0.015197568389057751, 0.0121580547112462, 0.015197568389057751, 0.00303951367781155, 0.00911854103343465, 0.0]"
219,2024-05-14,15:00,Gelsenkirchen,259744,[25. 19. 20. 34. 29. 37. 63. 72. 82. 70. 70. 18. 52.],"[0.04230118443316413, 0.032148900169204735, 0.0338409475465313, 0.05752961082910321, 0.049069373942470386, 0.06260575296108291, 0.1065989847715736, 0.1218274111675127, 0.13874788494077833, 0.11844331641285956, 0.11844331641285956, 0.030456852791878174, 0.08798646362098139]"
220,2024-05-14,18:00,Gelsenkirchen,259744,[34. 29. 37. 63. 72. 82. 70. 70. 18. 52.  4.  1.  4.],"[0.06343283582089553, 0.054104477611940295, 0.06902985074626866, 0.11753731343283583, 0.13432835820895522, 0.15298507462686567, 0.13059701492537312, 0.13059701492537312, 0.033582089552238806, 0.09701492537313433, 0.007462686567164179, 0.0018656716417910447, 0.007462686567164179]"
221,2024-05-14,21:00,Gelsenkirchen,259744,[63. 72. 82. 70. 70. 18. 52.  4.  1.  4.  3.  4.  1.],"[0.14189189189189189, 0.16216216216216217, 0.18468468468468469, 0.15765765765765766, 0.15765765765765766, 0.04054054054054054, 0.11711711711711711, 0.009009009009009009, 0.0022522522522522522, 0.009009009009009009, 0.006756756756756757, 0.009009009009009009, 0.0022522522522522522]"
