day,city,contacts_city,contacts_stad,contact_to_baseline_city,contact_to_baseline_all
2024-06-04,Düsseldorf,258,0,1.162162162162162,1.162162162162162
2024-06-04,Frankfurt am Main,176,0,0.8645614035087719,0.8645614035087719
2024-06-04,Gelsenkirchen,280,0,1.053763440860215,1.053763440860215
2024-06-04,Hamburg,674,0,1.0010608953957139,1.0010608953957139
2024-06-04,Köln,294,0,0.961233068659505,0.961233068659505
2024-06-04,Leipzig,682,0,1.3663423010875786,1.3663423010875786
2024-06-04,München,112,0,0.8494041170097508,0.8494041170097508
2024-06-04,Stuttgart,204,0,0.9834710743801653,0.9834710743801653
2024-06-05,Berlin,1306,0,1.091060985797828,1.091060985797828
2024-06-05,Dortmund,228,0,0.8991549295774648,0.8991549295774648
2024-06-05,Düsseldorf,260,0,1.205298013245033,1.205298013245033
2024-06-05,Frankfurt am Main,182,0,1.0208333333333335,1.0208333333333335
2024-06-05,Gelsenkirchen,316,0,1.1791044776119404,1.1791044776119404
2024-06-05,Hamburg,656,0,0.9390593047034765,0.9390593047034765
2024-06-05,Köln,318,0,1.0196976637654604,1.0196976637654604
2024-06-05,Leipzig,532,0,1.023920813857575,1.023920813857575
2024-06-05,München,90,0,0.6673728813559322,0.6673728813559322
2024-06-05,Stuttgart,200,0,0.8083140877598153,0.8083140877598153
2024-06-06,Berlin,1474,0,1.1603688708951867,1.1603688708951867
2024-06-06,Dortmund,280,0,1.1329479768786128,1.1329479768786128
2024-06-06,Düsseldorf,234,0,1.0883720930232559,1.0883720930232559
2024-06-06,Frankfurt am Main,176,0,0.8882480173035329,0.8882480173035329
2024-06-06,Gelsenkirchen,290,0,1.0550935550935552,1.0550935550935552
2024-06-06,Hamburg,626,0,0.8793899257475416,0.8793899257475416
2024-06-06,Köln,358,0,1.1553711387736285,1.1553711387736285
2024-06-06,Leipzig,654,0,1.2906681702847476,1.2906681702847476
2024-06-06,München,160,0,1.1953041622198506,1.1953041622198506
2024-06-06,Stuttgart,182,0,0.9922118380062306,0.9922118380062306
2024-06-07,Berlin,1348,0,1.0223185265438786,1.0223185265438786
2024-06-07,Dortmund,254,0,0.8548076923076923,0.8548076923076923
2024-06-07,Düsseldorf,228,0,0.8851913477537439,0.8851913477537439
2024-06-07,Frankfurt am Main,208,0,0.9771812080536912,0.9771812080536912
2024-06-07,Gelsenkirchen,290,0,1.0247349823321554,1.0247349823321554
2024-06-07,Hamburg,716,0,0.8964407082811662,0.8964407082811662
2024-06-07,Köln,312,0,0.7938931297709924,0.7938931297709924
2024-06-07,Leipzig,616,0,0.9874055415617128,0.9874055415617128
2024-06-07,München,86,0,0.5978152929493545,0.5978152929493545
2024-06-07,Stuttgart,144,0,0.72,0.72
2024-06-08,Berlin,1078,2,0.9772079772079773,0.9790209790209791
2024-06-08,Dortmund,262,0,0.7871244635193133,0.7871244635193133
2024-06-08,Düsseldorf,364,0,1.0634390651085142,1.0634390651085142
2024-06-08,Frankfurt am Main,156,0,0.8551292090837902,0.8551292090837902
2024-06-08,Gelsenkirchen,236,0,0.991001799640072,0.991001799640072
2024-06-08,Hamburg,696,0,0.9283536585365855,0.9283536585365855
2024-06-08,Köln,560,0,1.4244186046511627,1.4244186046511627
2024-06-08,Leipzig,452,0,0.909979867702042,0.909979867702042
2024-06-08,München,136,0,0.912751677852349,0.912751677852349
2024-06-08,Stuttgart,168,0,0.7046135410425405,0.7046135410425405
2024-06-09,Berlin,786,2,1.1360726822217633,1.1389634524055336
2024-06-09,Dortmund,180,0,0.8768267223382046,0.8768267223382046
2024-06-09,Düsseldorf,138,0,0.7071742313323572,0.7071742313323572
2024-06-09,Frankfurt am Main,128,0,0.9511677282377918,0.9511677282377918
2024-06-09,Gelsenkirchen,146,0,0.8871527777777777,0.8871527777777777
2024-06-09,Hamburg,580,0,1.0754966887417217,1.0754966887417217
2024-06-09,Köln,352,0,1.1926427879961277,1.1926427879961277
2024-06-09,Leipzig,318,0,0.9924208649130628,0.9924208649130628
2024-06-09,München,152,32,1.4436906377204883,1.7476255088195385
2024-06-09,Stuttgart,118,0,1.0012121212121212,1.0012121212121212
2024-06-10,Berlin,1466,0,1.2797106871180943,1.2797106871180943
2024-06-10,Dortmund,242,0,1.0241837968561065,1.0241837968561065
2024-06-10,Düsseldorf,210,0,0.9905660377358491,0.9905660377358491
2024-06-10,Frankfurt am Main,170,0,0.9077040427154844,0.9077040427154844
2024-06-10,Gelsenkirchen,222,0,0.8404542996214169,0.8404542996214169
2024-06-10,Hamburg,686,0,1.0965973966659055,1.0965973966659055
2024-06-10,Köln,326,0,1.1972717733473244,1.1972717733473244
2024-06-10,Leipzig,508,0,1.1112499999999998,1.1112499999999998
2024-06-10,München,134,0,1.1074380165289257,1.1074380165289257
